email,label
"Congratulations! You won a free iPhone. Click now to claim.",spam
"Meeting moved to 3 PM tomorrow. Please confirm.",ham
"URGENT: Verify your bank account immediately.",spam
"Can you share the sprint report by evening?",ham
"Limited time offer! Earn money from home fast.",spam
"Lunch at 1 PM?",ham
"Security alert: Your account is locked. Verify now.",spam
"Please review the attached design draft.",ham
"Buy one get one free, order now!",spam
"Your interview is confirmed for Monday.",ham
"Winner! Claim your gift card today.",spam
"Thanks for helping with the presentation.",ham
"Act now to avoid service deactivation.",spam
"Invoice attached for last month.",ham
"Free crypto giveaway, send wallet details.",spam
"Can we discuss deployment issues after lunch?",ham
"Payment failed. Re-enter card details immediately.",spam
"Client call scheduled for tomorrow morning.",ham
"You are pre-approved for instant loan with zero documents.",spam
"Please submit expense receipts by Friday.",ham
"Final warning: account suspension in 24 hours.",spam
"Team standup moved to 10:30 AM.",ham
"Exclusive reward waiting. Confirm your identity now.",spam
"Shared the updated action items.",ham
"Claim your cashback bonus now.",spam
"Please check the code review comments.",ham
"Your package is held at customs, pay release fee.",spam
"Thanks, I received the files.",ham
"Verify KYC now to avoid penalties.",spam
"Let's finalize sprint planning agenda.",ham
"Register today for guaranteed monthly profits.",spam
"Please merge the approved branch.",ham
"Final chance to claim free subscription.",spam
"Attached are revised budget numbers.",ham
"Urgent response needed to prevent account termination.",spam
"Great work on shipping the feature.",ham
"Win a brand new car! Register now.",spam
"Reminder: Doctor appointment at 5 PM.",ham
"Open this link to unlock premium access for free.",spam
"Can you review my PR when free?",ham
